protein,pdbid,state,trajectory_url,topology_url,model_url
Protein smoothened,AF3M,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2711/25625_trj_2355.dcd,https://gpcrmd.org/dynadb/files/Dynamics/dyn2711/25624_dyn_2355.psf,
Beta-2 adrenergic receptor,3NY8.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10850_trj_88.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10854_dyn_88.psf,
Muscarinic acetylcholine receptor M4,5DSG.B,unknown,https://gpcrmd.org/dynadb/files/Dynamics/11477_trj_157.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11482_dyn_157.psf,
unknown,3W5A,unknown,https://gpcrmd.org/dynadb/files/Dynamics//dyn1508/19426_trj_1304.dcd,https://gpcrmd.org/dynadb/files/Dynamics//dyn1508/19425_dyn_1304.psf,
unknown,9CLW,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2648/25274_trj_2297.dcd,https://gpcrmd.org/dynadb/files/Dynamics/dyn2648/25271_dyn_2297.psf,
Beta-1 adrenergic receptor,4AMJ.B,unknown,https://gpcrmd.org/dynadb/files/Dynamics/11348_trj_142.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11353_dyn_142.psf,
Beta-1 adrenergic receptor,2YCW.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10639_trj_64.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10644_dyn_64.psf,
Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,6NBF,unknown,https://gpcrmd.org/dynadb/files/Dynamics/12154_trj_237.xtc,https://gpcrmd.org/dynadb/files/Dynamics/12156_dyn_237.psf,
P2Y purinoceptor 1,4XNV.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/11951_trj_207.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11954_dyn_207.psf,
Muscarinic acetylcholine receptor M2,4MQS.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10681_trj_69.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10686_dyn_69.psf,
unknown,6KPF,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2568/25018_trj_2242.xtc,https://gpcrmd.org/dynadb/files/Dynamics/dyn2568/25019_dyn_2242.psf,
unknown,8XBG,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn1964/22287_trj_1744.dcd,https://gpcrmd.org/dynadb/files/Dynamics/dyn1964/22286_dyn_1744.cms,
unknown,6KPF,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2562/24964_trj_2236.xtc,https://gpcrmd.org/dynadb/files/Dynamics/dyn2562/24965_dyn_2236.psf,
unknown,8T3S,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2628/25198_trj_2281.dcd,https://gpcrmd.org/dynadb/files/Dynamics/dyn2628/25195_dyn_2281.psf,
unknown,9CM7,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2660/25353_trj_2309.dcd,https://gpcrmd.org/dynadb/files/Dynamics/dyn2660/25350_dyn_2309.psf,
Type-1 angiotensin II receptor,4ZUD.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/11754_trj_190.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11758_dyn_190.psf,
Beta-2 adrenergic receptor,3NY9.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10945_trj_99.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10950_dyn_99.psf,
Beta-1 adrenergic receptor,4AMJ.B,unknown,https://gpcrmd.org/dynadb/files/Dynamics/11557_trj_167.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11560_dyn_167.psf,
Adenosine receptor A2a,5IUA.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10536_trj_53.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10540_dyn_53.psf,
P2Y purinoceptor 12,4PXZ.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10761_trj_78.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10766_dyn_78.psf,
P2Y purinoceptor 12,4PY0.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10769_trj_79.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10774_dyn_79.psf,
Orexin receptor type 2,4S0V.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10874_trj_91.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10878_dyn_91.psf,
Beta-1 adrenergic receptor,4AMI.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/11333_trj_140.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11335_dyn_140.psf,
Muscarinic acetylcholine receptor M3,4U15.B,unknown,https://gpcrmd.org/dynadb/files/Dynamics/11643_trj_174.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11648_dyn_174.psf,
Beta-1 adrenergic receptor,4BVN.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/11364_trj_144.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11369_dyn_144.psf,
Adenosine receptor A2a,3RFM.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10406_trj_37.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10403_dyn_37.psf,
Delta-type opioid receptor,4N6H.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/11372_trj_145.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11377_dyn_145.psf,
Muscarinic acetylcholine receptor M4,5DSG.B,unknown,https://gpcrmd.org/dynadb/files/Dynamics/11612_trj_173.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11616_dyn_173.psf,
Beta-1 adrenergic receptor,2Y00.B,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10219_trj_15.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10223_dyn_15.psf,
unknown,9CM3,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2653/25306_trj_2302.dcd,https://gpcrmd.org/dynadb/files/Dynamics/dyn2653/25303_dyn_2302.psf,
unknown,3P2D,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2342/24104_trj_2072.xtc,https://gpcrmd.org/dynadb/files/Dynamics/dyn2342/24103_dyn_2072.psf,
Beta-1 adrenergic receptor,5A8E.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/11408_trj_149.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11410_dyn_149.psf,
